Id,Category
0,2
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,3
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,3
17,9
18,9
19,9
20,9
21,9
22,3
23,9
24,3
25,3
26,9
27,9
28,5
29,9
30,5
31,5
32,9
33,9
34,5
35,5
36,5
37,9
38,9
39,9
40,9
41,3
42,2
43,9
44,5
45,3
46,9
47,9
48,9
49,9
50,5
51,3
52,9
53,9
54,9
55,5
56,9
57,3
58,9
59,9
60,5
61,9
62,9
63,9
64,9
65,2
66,2
67,3
68,9
69,9
70,5
71,9
72,9
73,5
74,5
75,5
76,9
77,3
78,5
79,9
80,9
81,9
82,9
83,2
84,3
85,9
86,9
87,9
88,9
89,9
90,5
91,5
92,9
93,5
94,5
95,9
96,2
97,2
98,9
99,9
100,3
101,9
102,9
103,5
104,9
105,2
106,9
107,9
108,9
109,9
110,5
111,5
112,2
113,2
114,9
115,9
116,9
117,9
118,9
119,9
120,2
121,5
122,9
123,5
124,3
125,5
126,5
127,5
128,9
129,9
130,5
131,9
132,9
133,3
134,3
135,2
136,9
137,9
138,10
139,3
140,2
141,9
142,5
143,5
144,9
145,9
146,3
147,5
148,9
149,5
150,5
151,9
152,9
153,9
154,9
155,3
156,9
157,2
158,2
159,5
160,5
161,2
162,5
163,5
164,9
165,9
166,5
167,9
168,3
169,9
170,2
171,3
172,9
173,9
174,9
175,9
176,2
177,9
178,9
179,9
180,3
181,5
182,9
183,9
184,9
185,9
186,5
187,9
188,3
189,9
190,3
191,3
192,9
193,9
194,9
195,9
196,5
197,9
198,9
199,9
200,9
201,2
202,5
203,2
204,5
205,9
206,9
207,9
208,5
209,9
210,9
211,5
212,5
213,9
214,9
215,9
216,2
217,3
218,9
219,5
220,9
221,5
222,9
223,9
224,5
225,5
226,9
227,5
228,9
229,9
230,9
231,3
232,2
233,9
234,9
235,2
236,9
237,10
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,9
248,9
249,9
250,9
251,3
252,9
253,9
254,5
255,9
256,9
257,9
258,9
259,9
260,9
261,9
262,9
263,9
264,5
265,9
266,3
267,9
268,9
269,9
270,9
271,9
272,9
273,9
274,9
275,9
276,9
277,5
278,5
279,9
280,2
281,9
282,5
283,9
284,9
285,3
286,2
287,9
288,9
289,9
290,9
291,9
292,2
293,9
294,9
295,9
296,3
297,9
298,2
299,9
300,9
301,9
302,9
303,3
304,9
305,10
306,5
307,2
308,9
309,9
310,9
311,9
312,3
313,9
314,9
315,9
316,3
317,9
318,9
319,3
320,9
321,5
322,2
323,9
324,9
325,3
326,5
327,9
328,9
329,9
330,9
331,9
332,9
333,9
334,9
335,2
336,9
337,9
338,5
339,9
340,9
341,9
342,9
343,9
344,9
345,9
346,9
347,9
348,5
349,2
350,9
351,9
352,9
353,9
354,9
355,9
356,9
357,5
358,5
359,9
360,9
361,5
362,2
363,5
364,9
365,5
366,9
367,9
368,9
369,9
370,5
371,9
372,5
373,9
374,9
375,9
376,5
377,9
378,2
379,5
380,9
381,9
382,5
383,2
384,9
385,9
386,9
387,9
388,9
389,9
390,9
391,3
392,2
393,9
394,2
395,9
396,9
397,5
398,9
399,3
400,9
401,2
402,9
403,9
404,9
405,2
406,5
407,5
408,9
409,9
410,5
411,9
412,9
413,3
414,3
415,9
416,9
417,9
418,9
419,9
420,5
421,9
422,9
423,5
424,2
425,2
426,9
427,9
428,9
429,9
430,5
431,2
432,9
433,5
434,9
435,2
436,5
437,9
438,9
439,5
440,9
441,2
442,9
443,9
444,5
445,9
446,9
447,9
448,9
449,2
450,9
451,9
452,9
453,2
454,9
455,9
456,9
457,9
458,2
459,9
460,9
461,3
462,9
463,9
464,3
465,3
466,9
467,3
468,9
469,5
470,5
471,9
472,5
473,5
474,9
475,9
476,9
477,5
478,3
479,9
480,5
481,9
482,9
483,9
484,9
485,5
486,9
487,9
488,5
489,9
490,9
491,9
492,3
493,2
494,5
495,2
496,9
497,9
498,2
499,10
500,9
501,9
502,9
503,3
504,9
505,9
506,9
507,9
508,9
509,9
510,9
511,3
512,9
513,9
514,9
515,5
516,9
517,9
518,9
519,9
520,5
521,2
522,9
523,3
524,5
525,2
526,9
527,3
528,9
529,9
530,5
531,9
532,9
533,3
534,9
535,5
536,9
537,9
538,3
539,9
540,3
541,9
542,2
543,3
544,9
545,3
546,9
547,5
548,3
549,5
550,2
551,2
552,3
553,9
554,9
555,9
556,3
557,9
558,9
559,5
560,9
561,5
562,9
563,2
564,5
565,9
566,5
567,3
568,2
569,3
570,5
571,5
572,2
573,5
574,2
575,9
576,9
577,9
578,9
579,9
580,9
581,5
582,5
583,5
584,9
585,9
586,5
587,9
588,9
589,5
590,9
591,9
592,9
593,5
594,2
595,9
596,9
597,2
598,9
599,9
600,9
601,10
602,9
603,9
604,9
605,9
606,9
607,5
608,5
609,5
610,9
611,9
612,5
613,9
614,5
615,10
616,9
617,9
618,9
619,5
620,2
621,9
622,9
623,9
624,9
625,9
626,9
627,5
628,2
629,9
630,9
631,9
632,5
633,9
634,9
635,2
636,3
637,9
638,5
639,9
640,5
641,9
642,9
643,9
644,2
645,9
646,9
647,5
648,5
649,9
650,3
651,9
652,9
653,5
654,2
655,5
656,5
657,9
658,2
659,9
660,2
661,9
662,9
663,9
664,9
665,9
666,9
667,5
668,9
669,9
670,9
671,9
672,9
673,9
674,9
675,9
676,3
677,2
678,5
679,2
680,9
681,9
682,5
683,9
684,3
685,9
686,9
687,9
688,3
689,9
690,9
691,9
692,2
693,9
694,9
695,3
696,3
697,9
698,9
699,9
700,3
701,9
702,9
703,9
704,3
705,9
706,9
707,2
708,5
709,9
710,9
711,5
712,10
713,9
714,9
715,9
716,9
717,9
718,9
719,9
720,9
721,9
722,9
723,2
724,9
725,9
726,9
727,9
728,5
729,9
730,9
731,9
732,2
733,3
734,9
735,2
736,9
737,2
738,5
739,9
740,3
741,3
742,2
743,9
744,3
745,5
746,2
747,3
748,9
749,9
750,5
751,3
752,9
753,9
754,5
755,5
756,2
757,9
758,9
759,9
760,5
761,9
762,9
763,9
764,2
765,2
766,9
767,2
768,5
769,9
770,9
771,9
772,9
773,2
774,9
775,9
776,9
777,5
778,9
779,9
780,9
781,2
782,9
783,9
784,5
785,9
786,9
787,9
788,5
789,9
790,9
791,5
792,3
793,3
794,3
795,5
796,9
797,2
798,9
799,3
800,9
801,2
802,9
803,5
804,9
805,9
806,2
807,9
808,9
809,9
810,9
811,9
812,5
813,9
814,9
815,9
816,9
817,2
818,9
819,9
820,9
821,9
822,9
823,9
824,9
825,9
826,9
827,9
828,5
829,9
830,9
831,9
832,9
833,3
834,9
835,9
836,5
837,9
838,3
839,9
840,5
841,9
842,9
843,9
844,9
845,9
846,9
847,9
848,9
849,2
850,9
851,3
852,9
853,3
854,10
855,9
856,10
857,9
858,2
859,5
860,3
861,9
862,9
863,9
864,2
865,9
866,9
867,9
868,9
869,5
870,9
871,9
872,5
873,9
874,9
875,9
876,5
877,9
878,9
879,9
880,5
881,5
882,9
883,9
884,5
885,2
886,9
887,9
888,5
889,9
890,9
891,9
892,5
893,9
894,3
895,9
896,9
897,5
898,9
899,9
900,9
901,9
902,9
903,3
904,9
905,9
906,9
907,9
908,9
909,9
910,2
911,2
912,9
913,2
914,9
915,3
916,9
917,9
918,9
919,9
920,9
921,9
922,9
923,9
924,9
925,5
926,9
927,9
928,9
929,9
930,3
931,5
932,9
933,9
934,9
935,5
936,9
937,5
938,9
939,9
940,3
941,9
942,9
943,9
944,9
945,9
946,9
947,2
948,9
949,3
950,9
951,2
952,9
953,9
954,9
955,5
956,9
957,9
958,9
959,9
960,9
961,9
962,5
963,9
964,9
965,9
966,5
967,5
968,2
969,9
970,9
971,9
972,5
973,5
974,9
975,5
976,9
977,5
978,9
979,9
980,9
981,9
982,9
983,3
984,9
985,2
986,5
987,5
988,9
989,2
990,5
991,3
992,5
993,9
994,9
995,9
996,9
997,5
998,5
999,9
1000,9
1001,5
1002,9
1003,9
1004,3
1005,9
1006,9
1007,2
1008,9
1009,5
1010,5
1011,3
1012,9
1013,2
1014,9
1015,9
